Alken,56332,Rheinland-Pfalz,50.2456152,7.4482849
Alkersleben,99310,Thüringen,50.8474366,11.0412337
Alkersum,25938,Schleswig-Holstein,54.7085359,8.5091184
Allenbach,55758,Rheinland-Pfalz,49.7556621,7.166168
Allendorf,35108,Hessen,51.03851855,8.683268440854302
Allendorf,56370,Rheinland-Pfalz,50.2679502,7.9982619
Allendorf,07426,Thüringen,50.6548889,11.1586047
Allendorf (Lumda),35469,Hessen,50.6786638,8.8229355
Allenfeld,55595,Rheinland-Pfalz,49.8676903,7.6680449
Allensbach,78476,Baden-Württemberg,47.7168668,9.0687005
Allersberg,90584,Bayern,49.2513012,11.2356812
Allershausen,85391,Bayern,48.433305,11.5999989
Alleshausen,88422,Baden-Württemberg,48.102828,9.6219109
Alling,82239,Bayern,48.1401952,11.3015889
Allmannshofen,86695,Bayern,48.6125343,10.8088832
Allmannsweiler,88348,Baden-Württemberg,48.0289145,9.5939343
Allmendingen,89604,Baden-Württemberg,48.3277262,9.7255469
Allmersbach im Tal,71573,Baden-Württemberg,48.9073065,9.4679753
Allstedt,06542,Sachsen-Anhalt,51.402697,11.3873822
Almdorf,25821,Schleswig-Holstein,54.5826992,9.0138564
Almersbach,57610,Rheinland-Pfalz,50.674805,7.6288485
Alpen,46519,Nordrhein-Westfalen,51.5767514,6.5128741
Alpenrod,57642,Rheinland-Pfalz,50.6316731,7.8683622
Alpenrod,57647,Rheinland-Pfalz,50.6316731,7.8683622
Alperstedt,99195,Thüringen,51.0941825,11.0455513
Alpirsbach,72275,Baden-Württemberg,48.3456021,8.4033079
Alsbach,56237,Rheinland-Pfalz,50.4641502,7.6618575
Alsbach-Hähnlein,64665,Hessen,49.7386,8.59583
Alsdorf,52477,Nordrhein-Westfalen,50.8771537,6.1620774
Alsdorf,57518,Rheinland-Pfalz,49.8885782,6.4643156
Alsdorf,54668,Rheinland-Pfalz,49.8885782,6.4643156
Alsenz,67821,Rheinland-Pfalz,49.7242877,7.8154248
Alsfeld,36304,Hessen,50.7523545,9.268355
Alsheim,67577,Rheinland-Pfalz,49.7656495,8.341793
Alsleben,06425,Sachsen-Anhalt,51.7015251,11.6783936
Altbach,73776,Baden-Württemberg,0,0
Alt Bennebek,24848,Schleswig-Holstein,54.3782198,9.4326136
Alt Bukow,18233,Mecklenburg-Vorpommern,53.9978174,11.6087258
Altdöbern,03229,Brandenburg,51.6511561,14.0342532
Altdorf,84032,Bayern,48.5549274,12.1080947
Altdorf,71155,Baden-Württemberg,48.5950276,9.2712933
Altdorf,72655,Baden-Württemberg,48.5950276,9.2712933
Altdorf,67482,Rheinland-Pfalz,49.2861586,8.2173112
Altdorf bei Nürnberg,90518,Bayern,49.3858107,11.3564341
